X,Y,Z,Mixed,ClassLabel
0.20651436,0.30647278,-0.14143372,0.39569843,1.0
0.26618004,-0.061065674,0.05221176,0.27804118,1.0
0.2266407,-0.23931885,0.180336,0.37571344,1.0
0.08362579,-0.03717041,0.055725098,0.10714569,1.0
-0.014389038,0.057235718,0.035182953,0.06870817,1.0
-0.01612091,0.12200034,-0.007278442,0.017688256,1.0
-0.02195549,0.05734253,-0.08811188,0.10739605,1.0
0.2876339,0.34979248,-0.118019104,0.46799204,1.0
-0.011169434,0.039108276,0.14832687,0.15380207,1.0
-0.091560364,-0.24220276,0.12665176,0.2882467,1.0
-0.008399963,-0.12223816,0.050224304,0.13242057,1.0
0.039009094,0.112457275,-0.037490845,0.12479548,1.0
0.13821411,0.008560181,0.053497314,0.14845328,1.0
0.025909424,-0.13987732,0.04668045,0.14971982,1.0
-0.2205391,-0.39711,0.14682007,0.47737822,1.0
-0.44565392,0.64175415,-0.49918365,0.9271678,1.0
-0.4186077,0.62979126,-0.50484085,0.909249,1.0
-0.25299644,0.277771,-0.25710678,0.45526674,1.0
0.19949913,0.88752747,-0.22470856,0.93701595,1.0
0.30207825,-0.2856598,0.47097397,0.62822706,1.0
0.07866478,-0.375,0.29821014,0.48553315,1.0
0.1038475,-0.13879395,0.16658401,0.24041276,1.0
-0.15507507,-0.13238525,-0.09526825,0.22505593,1.0
0.0975132,0.43804932,-0.15562057,0.4749882,1.0
-0.054777145,0.17501831,0.008457184,0.18358505,1.0
-0.07196236,-0.05206299,0.03375244,0.0950177,1.0
-0.077243805,-0.06336975,0.003204346,0.09996299,1.0
-0.03411293,-0.08699036,0.034778595,0.09970238,1.0
0.0025177,0.14263916,-0.037075043,0.14740023,1.0
-0.05181694,0.1512146,0.041820526,0.16522653,1.0
-0.05063057,0.1412741,0.020637512,0.054676723,1.0
0.006092072,-0.08706665,0.028324127,0.0917604,1.0
-0.02794838,0.04864502,0.024780273,0.061331164,1.0
0.02268219,-0.04171753,-0.005336762,0.047784045,1.0
